team,department,subdepartment,employee,title
cin,Executive Office,None,President and Chief Executive Officer,Robert H. Castellini
cin,Executive Office,None,Chairman,W. Joseph Williams Jr.
cin,Executive Office,None,Vice Chairman and Treasurer,Thomas L. Williams
cin,Executive Office,None,President of Baseball Operations and GM,Walt Jocketty
cin,Executive Office,None,Executive Assistant to the GM,Melissa Hill
cin,Executive Office,None,Chief Operating Officer,Phillip J. Castellini
cin,Executive Office,None,Executive Assistant to the COO,Diana Busam
cin,Executive Office,None,Secretary,Christopher L. Fister
cin,Baseball Operations,Baseball Operations Front Office,Vice President and Assistant General Manager,Bob Miller
cin,Baseball Operations,Baseball Operations Front Office,"VP of Scouting, Player Dev. and International Ops",Bill Bavasi
cin,Baseball Operations,Baseball Operations Front Office,Vice President and Special Assistant to the GM,Jerry Walker
cin,Baseball Operations,Baseball Operations Front Office,Vice President of Baseball Operations,Dick Williams
cin,Baseball Operations,Baseball Operations Front Office,Senior Advisor to President of Baseball Operations,Joe Morgan
cin,Baseball Operations,Major League Operations Staff,Special Assistant to the General Manager ,Miguel Cairo
cin,Baseball Operations,Major League Operations Staff,Special Assistant to the General Manager,Eric Davis
cin,Baseball Operations,Major League Operations Staff,Special Assistant to the General Manager,Mario Soto
cin,Baseball Operations,Major League Operations Staff,Special Assistant to the General Manager ,Chris Speier
cin,Baseball Operations,Major League Operations Staff,Director of Baseball Operations,Nick Krall
cin,Baseball Operations,Major League Operations Staff,Manager of Baseball Systems Development,Brett Elkins
cin,Baseball Operations,Major League Operations Staff,Director of Baseball Research/Analysis,Sam Grossman
cin,Baseball Operations,Major League Operations Staff,Manager of Video Scouting,Rob Coughlin
cin,Baseball Operations,Major League Operations Staff,Baseball Operations Assistant,Eric Lee
cin,Baseball Operations,Pro Scouting,Senior Director of Professional and Global Scouting,Terry Reynolds
cin,Baseball Operations,Pro Scouting,"Special Assistant to the GM, Player Personnel",Cam Bonifay
cin,Baseball Operations,Pro Scouting,Special Assistant to the General Manager,"""J"" Harrison"
cin,Baseball Operations,Pro Scouting,Special Assistant to the General Manager,Marty Maier
cin,Baseball Operations,Pro Scouting,Special Assistant to the General Manager,John Morris
cin,Baseball Operations,Pro Scouting,Special Assistant to the General Manager,Mike Squires
cin,Baseball Operations,Pro Scouting,Special Assistant to the General Manager,Jeff Taylor
cin,Baseball Operations,Amateur Scouting,Senior Director of Amateur Scouting,Chris Buckley
cin,Baseball Operations,Amateur Scouting,Assistant Director of Amateur Scouting,Paul Pierson
cin,Baseball Operations,Amateur Scouting,Director of Latin American Scouting,Tony Arias
cin,Baseball Operations,Amateur Scouting,Director of Global Scouting,Jim Stoeckel
cin,Baseball Operations,Amateur Scouting,Special Assistant to the VP of International Operations,Jay Shindo
cin,Baseball Operations,Player Development,Director of Minor League Administration,Lois Hudson
cin,Baseball Operations,Player Development,Director of Player Development,Jeff Graupe
cin,Baseball Operations,Arizona Operations/Goodyear Ballpark,Operations Manager,Mike Saverino
cin,Baseball Operations,Arizona Operations/Goodyear Ballpark,Operations Assistant,Charlie Rodriguez
cin,Baseball Operations,Arizona Operations/Goodyear Ballpark,Minor League Equipment Manager,Jon Snyder
cin,Baseball Operations,Major League Team Travel,Traveling Secretary,Gary Wahoff
cin,Baseball Operations,Media Relations,Director of Media Relations,Rob Butcher
cin,Baseball Operations,Media Relations,Assistant Director of Media Relations,Larry Herms
cin,Baseball Operations,Media Relations,"Assistant Director of Media Relations, Digital Content",Jamie Ramsey
cin,Baseball Operations,Medical Staff,Medical Director,Dr. Timothy Kremchek
cin,Baseball Operations,Medical Staff,"Head Athletic Trainer, A.T.C.",Paul Lessard
cin,Baseball Operations,Medical Staff,"Assistant Athletic Trainer, A.T.C./C.S.C.S.",Steve Baumann
cin,Baseball Operations,Medical Staff,"Assistant Athletic Trainer, A.T.C.",Tomas Vera
cin,Baseball Operations,Medical Staff,"Major League Strength and Conditioning Coordinator, M.S, CSCS, RSCC*D",Sean Marohn
cin,Baseball Operations,Clubhouse,Reds Clubhouse and Equipment Manager,Rick Stowe
cin,Baseball Operations,Clubhouse,Visiting Clubhouse Manager,Mark Stowe
cin,Baseball Operations,Clubhouse,Reds Clubhouse Assistant,Josh Stewart
cin,Ballpark Operations,Clubhouse,Vice President of Ballpark Operations,Tim O'Connell
cin,Ballpark Operations,Ballpark Operations,Senior Director of Ballpark Operations,Sean Brown
cin,Ballpark Operations,Ballpark Operations,Director of Ballpark Administration,Colleen Rodenberg
cin,Ballpark Operations,Ballpark Operations,Ballpark Operations Superintendent,Bob Harrison
cin,Ballpark Operations,Ballpark Operations,Guest Relations Manager,Jan Koshover
cin,Ballpark Operations,Ballpark Operations,"Manager, Technology Business Center",Chris Campbell
cin,Ballpark Operations,Ballpark Operations,Facility Services Coordinator,Jen Clemens
cin,Ballpark Operations,Ballpark Operations,Chief Engineer,Roger Smith
cin,Ballpark Operations,Ballpark Operations,Assistant Chief Engineer,Gary Goddard
cin,Ballpark Operations,Ballpark Operations,Finish Carpenter,Robert Burkhart
cin,Ballpark Operations,Ballpark Operations,Electrician,Richard Kleinwachter
cin,Ballpark Operations,Ballpark Operations,HVAC Technician,Chris Casarcia
cin,Ballpark Operations,Ballpark Operations,HVAC Technician,Don Eichstadt
cin,Ballpark Operations,Ballpark Operations,HVAC Technician,Mark Knapp
cin,Ballpark Operations,Ballpark Operations,Maintenance Worker I,Gary Kirk
cin,Ballpark Operations,Ballpark Operations,Maintenance Worker I,Mark Meeker
cin,Ballpark Operations,Ballpark Operations,Maintenance Worker I,Rusty Mentrup
cin,Ballpark Operations,Ballpark Operations,Ops QA/QC,Jon Phelps
cin,Ballpark Operations,Ballpark Operations,Painter,Phil Stall
cin,Ballpark Operations,Ballpark Operations,Switchboard Operator,Jenny Niehaus
cin,Ballpark Operations,Ballpark Operations,Ballpark Operations Coordinator ,Chase Vogel
cin,Ballpark Operations,Ballpark Operations,Shipping & Receiving Clerk ,Geoffrey Joseph
cin,Ballpark Operations,Field Operations,Head Groundskeeper,Doug Gallant
cin,Ballpark Operations,Field Operations,Assistant Head Groundskeeper,Derrik Grubbs
cin,Ballpark Operations,Field Operations,Grounds Supervisor,Robbie Dworkin
cin,Ballpark Operations,Public Safety and Security,Director of Safety and Security,Kerry Rowland
